naics,Description,ENOW Sector,ENOW Industry,
11251,Fish Hatcheries and Aquaculture,Living Resources,Fish Hatcheries and Aquaculture,
11411,Fishing,Living Resources,Fishing,
211120,Crude Petroleum Extraction,Offshore Mineral Resources,Oil and Gas Exploration and Product,
211130,Natural Gas Extraction ,Offshore Mineral Resources,Oil and Gas Exploration and Product,
212321,Construction Sand and Gravel Mining ,Offshore Mineral Resources,"Limestone, Sand and Gravel",
212322,Industrial Sand Mining ,Offshore Mineral Resources,"Limestone, Sand and Gravel",
213111,Drilling Oil and Gas Wells,Offshore Mineral Resources,Oil and Gas Exploration and Product,
213112,Support Activities for Oil and Gas Operations ,Offshore Mineral Resources,Oil and Gas Exploration and Product,
237990,Other Heavy and Civil Engineering Construction ,Marine Construction,Marine Related Construction,
311710,Seafood Product Preparation and Packaging,Living Resources,Seafood Processing,
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",Marine Transportation,Search and Navigation Equipment,
33661,Ship and Boat Building,Ship and Boat Building,Ship Building and Repair,
339920,Sporting and Athletic Goods Manufacturing,Tourism and Recreation,Sporting Goods Manufacturing,
424460,Fish and Seafood Merchant Wholesalers ,Living Resources,Seafood Markets,
441222,Boat Dealers ,Tourism and Recreation,Boat Dealers,
445250,Fish and Seafood Retailers ,Living Resources,Seafood Markets,Replacement for 445220
48311,Marine Freight and Passenger Transportation,Marine Transportation,Marine Freight and Passenger Transportation,
487210,"Scenic and Sightseeing Transportation, Water",Tourism and Recreation,Scenic Water Tours,
487990,"Scenic and Sightseeing Transportation, Other",Tourism and Recreation,Amusement and Recreation Services,
4883,Marine Transportation Services,Marine Transportation,Marine Transportation Services,
4931,Warehousing,Marine Transportation,Warehousing,
532284,Recreational Goods Rental ,Tourism and Recreation,Amusement and Recreation Services,
541360,Geophysical Surveying and Mapping Services,Offshore Mineral Resources,Oil and Gas Exploration and Product,
611620,Sports and Recreation Instruction ,Tourism and Recreation,Amusement and Recreation Services,
712130,Zoos and Botanical Gardens ,Tourism and Recreation,Zoos and Aquaria,
712190,Nature Parks and Other Similar Institutions,Tourism and Recreation,Zoos and Aquaria,
713110,Amusement and Theme Parks,Tourism and Recreation,Amusement and Recreation Services,
713930,Marinas,Tourism and Recreation,Marinas,
713990,All Other Amusement and Recreation Industries ,Tourism and Recreation,Amusement and Recreation Services,
7211,Traveler Accommodation,Tourism and Recreation,Hotels and Lodging Places,
721211,RV (Recreational Vehicle) Parks and Campgrounds ,Tourism and Recreation,RV Parks and Campgrounds,
721214,Recreational and Vacation Camps (except Campgrounds),Tourism and Recreation,Hotels and Lodging Places,
722410,Drinking Places (Alcoholic Beverages),Tourism and Recreation,Eating and Drinking Places,
72251,Eating Places,Tourism and Recreation,Eating and Drinking Places,
