STEP 1: Enter Zip Codes of Interest,,STEP 2: Enter NAICS Codes of Interest,,,
These can be copied from the DATA_zipTotals tab,,The REFERENCE_naics tab contains a list of relevant industries ,,,
↓ Enter first zip code below ↓,CITY NAME,↓ Enter first NAICS code below ↓,NAICS Description,,
123456,Example City,112511,Finfish Farming and Fish Hatcheries,Living Resources,← The default values in this section are the 48 six-digit NAICS codes used in ENOW. Customize this list to capture industries relevant to your local marine economy.
654321,Demo-opolis,112512,Shellfish Farming,Living Resources,
,,112519,Other Aquaculture,Living Resources,
,,114111,Finfish Fishing,Living Resources,
,,114112,Shellfish Fishing,Living Resources,
,,114119,Other Marine Fishing,Living Resources,
,,424460,Fish and Seafood Merchant Wholesalers,Living Resources,
,,445250,Fish and Seafood Retailers,Living Resources,
,,311710,Seafood Product Preparation and Packaging,Living Resources,
,,237990,Other Heavy and Civil Engineering Construction,Marine Construction,
,,483111,Deep Sea Freight Transportation,Marine Transportation,
,,483113,Coastal and Great Lakes Freight Transportation,Marine Transportation,
,,483112,Deep Sea Passenger Transportation,Marine Transportation,
,,483114,Coastal and Great Lakes Passenger Transportation,Marine Transportation,
,,488310,Port and Harbor Operations,Marine Transportation,
,,488320,Marine Cargo Handling,Marine Transportation,
,,488330,Navigational Services to Shipping,Marine Transportation,
,,488390,Other Support Activities for Water Transportation,Marine Transportation,
,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",Marine Transportation,
,,493110,General Warehousing and Storage,Marine Transportation,
,,493120,Refrigerated Warehousing and Storage,Marine Transportation,
,,493130,Farm Product Warehousing and Storage,Marine Transportation,
,,212321,Construction Sand and Gravel Mining,Offshore Mineral Resources,
,,212322,Industrial Sand Mining,Offshore Mineral Resources,
,,211120,Crude Petroleum Extraction ,Offshore Mineral Resources,
,,211130,Natural Gas Extraction,Offshore Mineral Resources,
,,213111,Drilling Oil and Gas Wells,Offshore Mineral Resources,
,,213112,Support Activities for Oil and Gas Operations,Offshore Mineral Resources,
,,541360,Geophysical Surveying and Mapping Services,Offshore Mineral Resources,
,,336612,Boat Building,Ship and Boat Building,
,,336611,Ship Building and Repairing,Ship and Boat Building,
,,487990,"Scenic and Sightseeing Transportation, Other",Tourism and Recreation,
,,532284,Recreational Goods Rental,Tourism and Recreation,
,,611620,Sports and Recreation Instruction,Tourism and Recreation,
,,713990,All Other Amusement and Recreation Industries,Tourism and Recreation,
,,441222,Boat Dealers,Tourism and Recreation,
,,722511,Full-Service Restaurants,Tourism and Recreation,
,,722513,Limited-Service Restaurants,Tourism and Recreation,
,,722514,"Cafeterias, Grill Buffets, and Buffets",Tourism and Recreation,
,,722515,Snack and Nonalcoholic Beverage Bars,Tourism and Recreation,
,,721110,Hotels (except Casino Hotels) and Motels,Tourism and Recreation,
,,721191,Bed-and-Breakfast Inns,Tourism and Recreation,
,,713930,Marinas,Tourism and Recreation,
,,721211,RV (Recreational Vehicle) Parks and Campgrounds,Tourism and Recreation,
,,487210,"Scenic and Sightseeing Transportation, Water",Tourism and Recreation,
,,339920,Sporting and Athletic Goods Manufacturing,Tourism and Recreation,
,,712130,Zoos and Botanical Gardens,Tourism and Recreation,
,,712190,Nature Parks and Other Similar Institutions,Tourism and Recreation,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
